"id","owner","name","count(user_id)","commits last month","pull reqs last month","changesLastMonth","age_in_days","language","commits all","pull reqs all","totalChanges"
142813,"Stackato-Apps","pet-clinic",15,0,0,0,682,"Java",26,0,26
143015,"collective","collective.pfg.soup",322,0,0,0,590,"Python",58,0,58
143306,"Khan","gae-continuous-deploy",12,0,0,0,584,"Python",36,0,36
143327,"mynewsdesk","translate",15,0,0,0,1870,"Ruby",1,2,3
143729,"threerings","clyde",16,64,0,64,1051,"Java",631,4,635
143818,"mozilla-services","metlog-py",11,0,0,0,875,"Python",292,27,319
144230,"enStratus","documentation",11,12,1,13,687,"Python",379,19,398
144357,"aeolusproject","aeolus-configure",40,0,0,0,878,"Ruby",343,21,364
144365,"javaBin","ems",13,0,0,0,1724,"Java",71,1,72
144376,"infochimps-labs","configliere",10,1,0,1,1525,"Ruby",138,9,147
144429,"OpenMRS","openmrs-module-reporting",33,89,12,101,625,"Java",622,73,695
144618,"puppetlabs","puppetlabs-nodejs",74,1,5,6,700,"Ruby",18,51,69
144657,"mozilla","zamboni-lib",23,1,1,2,1387,"Python",312,7,319
144889,"ncsurobotics","seawolf5",14,21,0,21,902,"Python",426,0,426
144976,"futuregrid","rain-move",13,0,0,0,696,"Python",146,0,146
145091,"plone","archetypes.referencebrowserwidget",236,11,0,11,897,"Python",216,13,229
145347,"podio","valideer",11,0,0,0,589,"Python",22,2,24
145553,"RiotGames","not_system_ruby_cookbook",14,0,0,0,651,"Ruby",6,3,9
145822,"mysociety","mapit",22,15,2,17,1353,"Python",522,25,547
146731,"flite","cach3",21,0,0,0,904,"Java",165,4,169
146799,"plone","plonetheme.sunburst",235,11,1,12,893,"Python",379,13,392
146900,"infochimps-labs","vayacondios",10,100,2,102,1028,"Ruby",464,4,468
146912,"collective","collective.disqus",255,1,0,1,725,"Python",114,7,121
147172,"recurly","recurly-client-ruby",10,20,7,27,1565,"Ruby",250,70,320
147391,"aptana","css.ruble",16,2,0,2,1528,"Ruby",73,0,73
147403,"jcu-eresearch","fascinator-shibboleth",12,0,0,0,601,"Java",48,0,48
147408,"academia-edu","what",15,2,0,2,1031,"Ruby",87,6,93
147423,"threerings","nenya",16,3,0,3,1065,"Java",321,1,322
147808,"Identified","jiffy_enums",29,0,0,0,575,"Ruby",51,5,56
149025,"motech","stepsovc-motech",57,0,0,0,708,"Java",260,0,260
149212,"FOSSEE","sdes-stscripts",10,0,0,0,896,"Python",204,0,204
149646,"jenkinsci","svn-tag-plugin",307,0,2,2,1179,"Java",127,4,131
150461,"fusesource","mqtt-client",22,19,2,21,810,"Java",70,4,74
150631,"opower","connection_pool_scaffold",11,1,2,3,1106,"Java",5,7,12
150834,"ops4j","org.ops4j.pax.logging",66,5,1,6,1182,"Java",324,10,334
151238,"rightscale","cookbooks_opensource",89,0,0,0,1372,"Ruby",24,0,24
151311,"railsware","rack_session_access",43,0,0,0,789,"Ruby",11,3,14
151343,"lizardsystem","flooding-worker",15,0,0,0,633,"Python",188,0,188
151558,"xored","q7examples",18,0,0,0,828,"Java",74,0,74
151727,"jenkinsci","ci-game-plugin",307,0,0,0,1178,"Java",206,10,216
151835,"tangentlabs","django-oscar-paymentexpress",14,0,0,0,574,"Python",16,4,20
