project_owner,project_name,p_of_chi_test,residual_1_1,residual_1_2,residual_2_1,residual_2_2,odds_ratio,p_of_odds_ratio
prawnpdf,prawn,1.42620552912602e-05,-1.38729102842696,3.26753985158072,1.05694804663843,-2.48947033655766,0.35030445855708,1.33294816340168e-05
geotools,geotools,0.341080569133304,0.56286275612386,-0.676774129886062,-0.375875157423357,0.451944243678118,1.25371422873497,0.292424851261357
nipy,dipy,2.36515443700859e-05,-0.873147211430578,1.83023452275518,1.64417388090267,-3.44641059244761,0.356045300316683,4.63628679392425e-06
square,retrofit,0.0029137295692593,0.74465965916938,-2.18849568945747,-0.656643257697665,1.92982246491719,1.9887106878017,0.0018478684928469
opscode,ohai,0.785448198893524,-0.13344899257576,0.224190893811987,0.117513326579357,-0.197419382583121,0.948889575107174,0.727901411607155
tomchristie,django-rest-framework,3.38266206134679e-16,-2.37084222893568,5.49097818675347,2.23055064004942,-5.16605650071397,0.411117815944865,1.11022302462516e-16
buildbot,buildbot,1.2986429078093e-09,-2.37221262234805,3.13987946738467,2.84651927801837,-3.76767552383977,0.357965772936074,4.98522556569014e-10
opscode-cookbooks,nginx,0.0986600191576942,-0.916949300616178,0.648381068469962,1.2175615550562,-0.860946032092278,0.457963784727147,0.0693141990642501
opscode,knife-ec2,2.37203919459648e-05,-1.31991236726648,2.37800506740927,1.66434616743277,-2.99855029639198,0.207261923969289,5.69593808019686e-06
github,linguist,0.00512508197895514,-1.11923302828139,1.54893692680693,1.23656625248458,-1.71131755632491,0.756743258126839,0.00438161282079874
puppetlabs,puppetlabs-stdlib,0.781194907498885,-0.110757351800051,0.216156345351879,0.157718538100182,-0.307806770710102,0.886560062666983,0.681692555356441
plone,plone.app.theming,0.774177478358537,0.40929374234328,-0.253292557088179,-0.199714896505093,0.123594112469838,1.30124189803852,0.59323518005885
alphagov,govuk_content_models,0.674314241771863,-0.18118576883487,0.50602431370499,0.114136306057405,-0.318765355098937,0.76477203964446,0.525957636638956
mcMMO-Dev,mcMMO,0.227225033474513,-0.451093451386152,1.2490212092301,0.231727232364367,-0.641623652681938,0.47494262765103,0.159379306692359
pydata,pandas,2.39762480583696e-09,-2.37866613505416,4.36072074781526,1.61636224030992,-2.96321718017991,0.648878767672745,3.0510357573732e-09
thoughtbot,capybara-webkit,0.34424534531097,0.381118423050601,-0.680432485253744,-0.386849848767271,0.690665126891022,1.44179367841262,0.272906748792326
enthought,chaco,0.799043146893472,0.177923350781996,-0.271088198548069,-0.144623809655507,0.220352235130216,1.14416632019756,0.682918979534131
django-extensions,django-extensions,0.0169834897972274,-0.904332319833968,1.70357405355846,0.742581349368805,-1.39886885793641,0.587837436377233,0.0136122616258093
shoes,shoes4,0.000252950754485794,-1.03028127720143,2.86097648451509,0.746717157372695,-2.07355047121717,0.505151984354891,0.000244983503532414
CloudifySource,cloudify,0.337488263988245,0.496712115683866,-0.962285438009822,-0.0665836550705989,0.12899319275853,1.36454496775062,0.276311542245048
cloudfoundry,cloud_controller_ng,0.452323460487198,-0.403025676958632,0.637239547360261,0.182626890488397,-0.288758467968737,0.882531100580167,0.40787774535618
spree,spree_gateway,1,0.0791581527368039,-0.0779244436857458,-0.0471379939841009,0.0464033309353021,1.04321936081269,0.898289916942202
travis-ci,travis-build,0.0529370152268611,-0.73400411516731,1.50304915797943,0.496004097594341,-1.01568714103678,0.721758117903178,0.0460376215152669
thoughtbot,clearance,0.161815812817446,-0.47380773362362,0.706482280974699,0.706482280974699,-1.0534171941729,0.669152679125965,0.127493432121943
sensu,sensu-community-plugins,9.32743409848145e-11,-1.53918044304933,3.39495874560668,2.24009905127342,-4.94096965660454,0.132208905830913,4.94493335168045e-13
tinkerpop,blueprints,0.000692589816108832,-1.99335758663301,2.56467530701048,0.840868221851413,-1.08187009671194,0.406525595245054,0.000567649153385141
rubygems,rubygems.org,0.931070896594452,-0.0891589391274961,0.123246811767452,0.046432038707647,-0.0641842622913822,0.970568404274633,0.860504792707981
DSpace,DSpace,0.431548579114301,-0.125021438984807,0.643587247740775,0.140883201453721,-0.725240667622842,0.668417747510766,0.333270125869192
